scenario,policy,seed,candidate_groups,useful_groups,retained_fraction,completed_steps,candidate_groups_per_completed_step,unique_tasks,duplicate_fallbacks,arithmetic_candidate_share,algebra_candidate_share,geometry_candidate_share,probability_candidate_share
normal,adaptive,16,261,200,0.7662835249042146,20,13.05,198,0,0.19923371647509577,0.2835249042145594,0.27586206896551724,0.2413793103448276
normal,adaptive,17,264,200,0.7575757575757576,20,13.2,200,0,0.20075757575757575,0.25757575757575757,0.2878787878787879,0.2537878787878788
normal,adaptive,18,264,200,0.7575757575757576,20,13.2,199,0,0.19696969696969696,0.2727272727272727,0.26515151515151514,0.26515151515151514
normal,adaptive,19,253,199,0.7865612648221344,19,13.31578947368421,195,0,0.18181818181818182,0.2766798418972332,0.30039525691699603,0.24110671936758893
normal,adaptive,20,259,200,0.7722007722007722,20,12.95,187,0,0.23166023166023167,0.26640926640926643,0.20463320463320464,0.2972972972972973
normal,adaptive,21,252,200,0.7936507936507936,20,12.6,173,0,0.19047619047619047,0.2698412698412698,0.3253968253968254,0.21428571428571427
normal,adaptive,22,269,199,0.7397769516728625,19,14.157894736842104,180,0,0.1821561338289963,0.2899628252788104,0.2527881040892193,0.275092936802974
normal,adaptive,23,260,200,0.7692307692307693,20,13.0,188,0,0.19615384615384615,0.23076923076923078,0.27307692307692305,0.3
normal,adaptive,24,246,200,0.8130081300813008,20,12.3,178,0,0.13008130081300814,0.2682926829268293,0.3048780487804878,0.2967479674796748
normal,adaptive,25,256,200,0.78125,20,12.8,193,0,0.21875,0.26171875,0.265625,0.25390625
normal,adaptive,26,274,199,0.7262773722627737,19,14.421052631578947,187,0,0.20437956204379562,0.35766423357664234,0.24087591240875914,0.19708029197080293
normal,adaptive,27,250,200,0.8,20,12.5,173,0,0.236,0.236,0.308,0.22
normal,adaptive,28,250,200,0.8,20,12.5,179,0,0.244,0.272,0.244,0.24
normal,adaptive,29,260,198,0.7615384615384615,18,14.444444444444445,183,0,0.15,0.23461538461538461,0.3038461538461538,0.31153846153846154
normal,adaptive,30,259,199,0.7683397683397684,19,13.631578947368421,183,0,0.16602316602316602,0.2702702702702703,0.29343629343629346,0.2702702702702703
normal,adaptive,31,246,200,0.8130081300813008,20,12.3,168,0,0.2682926829268293,0.25609756097560976,0.25609756097560976,0.21951219512195122
normal,adaptive,32,258,200,0.7751937984496124,20,12.9,189,0,0.2364341085271318,0.24806201550387597,0.2713178294573643,0.2441860465116279
normal,adaptive,33,253,199,0.7865612648221344,19,13.31578947368421,189,0,0.19367588932806323,0.26877470355731226,0.2766798418972332,0.2608695652173913
normal,adaptive,34,253,200,0.7905138339920948,20,12.65,188,0,0.18181818181818182,0.25296442687747034,0.25691699604743085,0.308300395256917
normal,adaptive,35,275,199,0.7236363636363636,19,14.473684210526315,191,0,0.22181818181818183,0.24,0.2872727272727273,0.2509090909090909
normal,adaptive,36,244,200,0.819672131147541,20,12.2,170,0,0.1762295081967213,0.3073770491803279,0.319672131147541,0.19672131147540983
normal,adaptive,37,251,200,0.796812749003984,20,12.55,190,0,0.2589641434262948,0.199203187250996,0.27091633466135456,0.27091633466135456
normal,adaptive,38,253,199,0.7865612648221344,19,13.31578947368421,172,0,0.18972332015810275,0.2450592885375494,0.2450592885375494,0.3201581027667984
normal,adaptive,39,263,200,0.7604562737642585,20,13.15,190,0,0.22053231939163498,0.2965779467680608,0.24714828897338403,0.23574144486692014
fast_saturation,random,0,235,200,0.851063829787234,20,11.75,235,0,0.251063829787234,0.25957446808510637,0.2553191489361702,0.23404255319148937
fast_saturation,random,1,228,200,0.8771929824561403,20,11.4,228,0,0.23684210526315788,0.2543859649122807,0.2236842105263158,0.2850877192982456
fast_saturation,random,2,230,200,0.8695652173913043,20,11.5,230,0,0.24347826086956523,0.23043478260869565,0.26521739130434785,0.2608695652173913
fast_saturation,random,3,226,200,0.8849557522123894,20,11.3,226,0,0.2610619469026549,0.24778761061946902,0.25663716814159293,0.2345132743362832
fast_saturation,random,4,217,200,0.9216589861751152,20,10.85,217,0,0.21658986175115208,0.22119815668202766,0.2764976958525346,0.2857142857142857
fast_saturation,random,5,239,199,0.8326359832635983,19,12.578947368421053,239,0,0.22594142259414227,0.2301255230125523,0.27615062761506276,0.26778242677824265
fast_saturation,random,6,227,200,0.8810572687224669,20,11.35,227,0,0.28634361233480177,0.2643171806167401,0.24669603524229075,0.2026431718061674
fast_saturation,random,7,226,200,0.8849557522123894,20,11.3,226,0,0.252212389380531,0.24778761061946902,0.23008849557522124,0.26991150442477874
fast_saturation,random,8,231,200,0.8658008658008658,20,11.55,231,0,0.23809523809523808,0.2597402597402597,0.23809523809523808,0.26406926406926406
fast_saturation,random,9,237,200,0.8438818565400844,20,11.85,237,0,0.21940928270042195,0.2742616033755274,0.270042194092827,0.23628691983122363
fast_saturation,random,10,227,200,0.8810572687224669,20,11.35,227,0,0.27312775330396477,0.2687224669603524,0.21585903083700442,0.2422907488986784
fast_saturation,random,11,228,200,0.8771929824561403,20,11.4,228,0,0.21929824561403508,0.2719298245614035,0.2894736842105263,0.21929824561403508
fast_saturation,random,12,231,200,0.8658008658008658,20,11.55,231,0,0.24675324675324675,0.22510822510822512,0.2554112554112554,0.2727272727272727
fast_saturation,random,13,240,200,0.8333333333333334,20,12.0,240,0,0.25416666666666665,0.25833333333333336,0.25833333333333336,0.22916666666666666
fast_saturation,random,14,231,200,0.8658008658008658,20,11.55,231,0,0.2683982683982684,0.2554112554112554,0.24675324675324675,0.22943722943722944
fast_saturation,random,15,231,200,0.8658008658008658,20,11.55,231,0,0.2597402597402597,0.21645021645021645,0.22077922077922077,0.30303030303030304
fast_saturation,random,16,233,200,0.8583690987124464,20,11.65,233,0,0.2532188841201717,0.26180257510729615,0.2317596566523605,0.2532188841201717
fast_saturation,random,17,231,200,0.8658008658008658,20,11.55,231,0,0.27705627705627706,0.23809523809523808,0.24242424242424243,0.24242424242424243
fast_saturation,random,18,226,200,0.8849557522123894,20,11.3,226,0,0.2610619469026549,0.252212389380531,0.22566371681415928,0.2610619469026549
fast_saturation,random,19,226,200,0.8849557522123894,20,11.3,226,0,0.25663716814159293,0.252212389380531,0.2168141592920354,0.2743362831858407
fast_saturation,random,20,233,200,0.8583690987124464,20,11.65,233,0,0.22317596566523606,0.2703862660944206,0.27467811158798283,0.2317596566523605
fast_saturation,random,21,223,199,0.8923766816143498,19,11.736842105263158,223,0,0.23318385650224216,0.25112107623318386,0.242152466367713,0.273542600896861
fast_saturation,random,22,231,200,0.8658008658008658,20,11.55,231,0,0.22510822510822512,0.2813852813852814,0.24242424242424243,0.2510822510822511
fast_saturation,random,23,232,200,0.8620689655172413,20,11.6,232,0,0.2543103448275862,0.2672413793103448,0.2413793103448276,0.23706896551724138
fast_saturation,random,24,233,200,0.8583690987124464,20,11.65,233,0,0.26180257510729615,0.2446351931330472,0.2317596566523605,0.26180257510729615
fast_saturation,random,25,227,200,0.8810572687224669,20,11.35,227,0,0.21145374449339208,0.28193832599118945,0.22026431718061673,0.28634361233480177
fast_saturation,random,26,227,200,0.8810572687224669,20,11.35,227,0,0.2026431718061674,0.28193832599118945,0.27312775330396477,0.2422907488986784
fast_saturation,random,27,220,200,0.9090909090909091,20,11.0,220,0,0.25,0.2636363636363636,0.25,0.23636363636363636
fast_saturation,random,28,238,200,0.8403361344537815,20,11.9,238,0,0.24789915966386555,0.24369747899159663,0.2605042016806723,0.24789915966386555
fast_saturation,random,29,234,200,0.8547008547008547,20,11.7,234,0,0.24786324786324787,0.2564102564102564,0.23931623931623933,0.2564102564102564
fast_saturation,random,30,237,199,0.8396624472573839,19,12.473684210526315,237,0,0.26582278481012656,0.25316455696202533,0.2320675105485232,0.2489451476793249
fast_saturation,random,31,239,200,0.8368200836820083,20,11.95,239,0,0.2384937238493724,0.2384937238493724,0.26359832635983266,0.2594142259414226
fast_saturation,random,32,235,200,0.851063829787234,20,11.75,235,0,0.24680851063829787,0.24680851063829787,0.2425531914893617,0.26382978723404255
fast_saturation,random,33,240,200,0.8333333333333334,20,12.0,240,0,0.275,0.25833333333333336,0.24583333333333332,0.22083333333333333
fast_saturation,random,34,230,200,0.8695652173913043,20,11.5,230,0,0.24782608695652175,0.21739130434782608,0.25217391304347825,0.2826086956521739
